id,Title
10,Inicio
41,"Nuestro hogar, la Tierra"
115,"¿Qué lugar ocupamos en el universo?"
120,"El Sistema Solar"
123,"La Vía Láctea: Nuestra galaxia"
124,"Grupo local y Supercúmulo de Virgo"
125,"El universo observable"
126,"El cosmos griego"
127,Geocentrismo
129,"Pensadores del infinito"
130,"El universo de Newton"
131,"El espacio-tiempo de Einstein"
132,"¿De qué está formado el universo?"
133,"Sobre la energía oscura"
134,"Sobre la materia oscura"
136,"Sistemas cercanos"
137,"Galaxias: La secuencia de Hubble"
138,"Meteoroides, meteoritos y asteroides"
139,"El ciclo del cometa"
140,"Tipos de nebulosas"
141,"La química del cosmos"
142,"El firmamento"
143,"Ciclo y vida de las estrellas"
144,"Nuestra estrella"
145,"Del Sol a estrellas hipergigantes"
146,"El origen de la supernova"
147,"Estrella de neutrones"
148,"Estrellas binarias"
149,"Agujeros negros"
151,"Los efectos de la relatividad"
158,"La escala Kardashov"
159,"La paradoja de Fermi"
160,"Hacia la exploración espacial"
161,"Megaestructuras I: Esferas de Dyson"
162,"Megaestructuras: II: Motores estelares"
163,"Lactómeda: Fusión de galaxias"
164,"El final del universo"
318,Heliocentrismo
376,"El universo en expansión"
386,"Historia de la visión del cosmos"
530,"Catálogo Messier"
1526,"Test #3"
